"","ring","Pnum","year","sex","unique2","weight","tarsus","wing_l","age","date"
"6907","A725178","19851EX9",1985,"M","19851EX9_A725178",19,NA,76,"6","23/05/1985"
"6908","NH38948","19851O100",1985,"M","19851O100_NH38948",18.5,NA,78,"6","11/06/1985"
"6909","C375405","19851O34",1985,"M","19851O34_C375405",19.2,NA,76,"5","21/05/1985"
"6910","C695100","19851O59",1985,"M","19851O59_C695100",19.3,NA,76,"6","15/06/1985"
"6911","C696548","19851O74",1985,"M","19851O74_C696548",18.3,NA,75,"5","05/06/1985"
"6912","C696547","19851O75",1985,"M","19851O75_C696547",17.3,NA,77,"5","05/06/1985"
"6913","C696596","19851SW103",1985,"M","19851SW103_C696596",20.2,NA,77,"5","12/06/1985"
"6914","C375449","19851SW125",1985,"M","19851SW125_C375449",18.1,NA,76,"5","29/05/1985"
"6915","C696799","19851SW29",1985,"M","19851SW29_C696799",18.4,NA,76,"6","14/06/1985"
"6916","C696477","19851W10",1985,"M","19851W10_C696477",19.2,NA,76,"5","30/05/1985"
"6917","C716440","19851W104",1985,"M","19851W104_C716440",18.2,NA,76,"5","05/06/1985"
"6918","NK59541","19851W14",1985,"M","19851W14_NK59541",18,NA,75,"6","31/05/1985"
"6919","NN87029","19851W17",1985,"M","19851W17_NN87029",19.7,NA,74,"5","09/06/1985"
"6920","NN30158","19851W19",1985,"M","19851W19_NN30158",19.2,NA,79,"6","26/05/1985"
"6921","C696498","19851W24",1985,"M","19851W24_C696498",19.1,NA,76,"5","09/06/1985"
"6922","NN35085","19851W26",1985,"M","19851W26_NN35085",18.2,NA,76,"6","24/05/1985"
"6923","C696500","19851W28",1985,"M","19851W28_C696500",19.7,NA,78,"6","10/06/1985"
"6924","NE93721","19851W50",1985,"M","19851W50_NE93721",18.1,NA,74,"6","25/05/1985"
"6925","NN35477","19851W56",1985,"M","19851W56_NN35477",19.2,NA,75,"5","09/06/1985"
"6926","C716451","19851W7",1985,"M","19851W7_C716451",19.3,NA,73,"5","05/06/1985"
"6927","NN35098","19851W73",1985,"M","19851W73_NN35098",19.1,NA,78,"6","25/05/1985"
"6928","NE96929","19851W75",1985,"M","19851W75_NE96929",17.3,NA,77,"6","25/05/1985"
"6929","NE93722","19851W80",1985,"M","19851W80_NE93722",19.1,NA,81,"6","25/05/1985"
"6930","NE95906","19851W97",1985,"M","19851W97_NE95906",19.1,NA,80,"6","04/06/1985"
"6931","NE92329","19851W99",1985,"M","19851W99_NE92329",19,NA,76,"6","25/05/1985"
"6932","C716776","19861B1",1986,"M","19861B1_C716776",19,NA,76,"6","14/06/1986"
"6933","NN34319","19861B115",1986,"M","19861B115_NN34319",19.1,NA,78.5,"6","30/05/1986"
"6934","C375813","19861B122",1986,"M","19861B122_C375813",17.3,NA,76,"6","06/06/1986"
"6935","JV92668","19861B140",1986,"M","19861B140_JV92668",20.2,NA,77.5,"6","02/06/1986"
"6936","C375643","19861B15",1986,"M","19861B15_C375643",19.7,NA,76,"5","05/06/1986"
"6937","NN88359","19861B151",1986,"M","19861B151_NN88359",19.6,NA,75,"5","30/05/1986"
"6938","NN86041","19861B172",1986,"M","19861B172_NN86041",19,NA,75.5,"5","03/06/1986"
"6939","NK59785","19861B179",1986,"M","19861B179_NK59785",19.3,NA,75,"6","08/06/1986"
"6940","C375809","19861B195",1986,"M","19861B195_C375809",19.7,NA,78,"6","05/06/1986"
"6941","C375670","19861B214",1986,"M","19861B214_C375670",19.4,NA,77,"5","14/06/1986"
"6942","NN34244","19861B216",1986,"M","19861B216_NN34244",20.2,NA,77.5,"6","25/06/1986"
"6943","NN88403","19861B219",1986,"M","19861B219_NN88403",19.3,NA,73.5,"5","07/06/1986"
"6944","B069521","19861B22",1986,"M","19861B22_B069521",20.2,NA,78.5,"6","10/06/1986"
"6945","B069000","19861B221",1986,"M","19861B221_B069000",18.8,NA,76,"6","14/06/1986"
"6946","NN34060","19861B226",1986,"M","19861B226_NN34060",19.2,NA,76.5,"6","01/06/1986"
"6947","NN30312","19861B227",1986,"M","19861B227_NN30312",19.5,NA,77,"6","07/06/1986"
"6948","C375629","19861B25",1986,"M","19861B25_C375629",19.1,NA,72.5,"5","05/06/1986"
"6949","JV92669","19861B30",1986,"M","19861B30_JV92669",19.6,NA,78.5,"6","07/06/1986"
"6950","NN34700","19861B31",1986,"M","19861B31_NN34700",19.7,NA,74,"6","05/06/1986"
"6951","NN86389","19861B32",1986,"M","19861B32_NN86389",16.6,NA,72,"5","04/06/1986"
"6952","NE95186","19861B39",1986,"M","19861B39_NE95186",18.5,NA,79.5,"6","14/06/1986"
"6953","NN88364","19861B5",1986,"M","19861B5_NN88364",19.2,NA,75,"5","06/06/1986"
"6954","NN86612","19861B58",1986,"M","19861B58_NN86612",20.8,NA,75,"5","07/06/1986"
"6955","NE94427","19861B60",1986,"M","19861B60_NE94427",20.1,NA,73,"6","12/06/1986"
"6956","NN34916","19861B65",1986,"M","19861B65_NN34916",19,NA,76,"6","02/06/1986"
"6957","C375822","19861B7",1986,"M","19861B7_C375822",17.3,NA,72,"5","06/06/1986"
"6958","NN88198","19861B77",1986,"M","19861B77_NN88198",18.3,NA,75,"5","08/06/1986"
"6959","NN30275","19861B81",1986,"M","19861B81_NN30275",18.1,NA,75,"6","08/06/1986"
"6960","NN34545","19861B87",1986,"M","19861B87_NN34545",21.6,NA,76,"6","07/06/1986"
"6961","NN34758","19861B99",1986,"M","19861B99_NN34758",20.5,NA,75,"5","05/06/1986"
"6962","NN86587","19861C104",1986,"M","19861C104_NN86587",18.8,NA,75,"5","05/06/1986"
"6963","C695226","19861C106",1986,"M","19861C106_C695226",18.5,NA,72,"5","05/06/1986"
"6964","C695214","19861C116",1986,"M","19861C116_C695214",17.6,NA,74,"5","31/05/1986"
"6965","C375602","19861C128",1986,"M","19861C128_C375602",19.1,NA,76,"5","01/06/1986"
"6966","NN88358","19861C146",1986,"M","19861C146_NN88358",18.5,NA,74,"5","28/05/1986"
"6967","C375614","19861C151",1986,"M","19861C151_C375614",17.8,NA,75,"5","13/06/1986"
"6968","NN87697","19861C19",1986,"M","19861C19_NN87697",19.3,NA,72,"5","19/06/1986"
"6969","C375612","19861C2",1986,"M","19861C2_C375612",18.3,NA,77,"5","02/06/1986"
"6970","NN88109","19861C20",1986,"M","19861C20_NN88109",18.3,NA,80,"5","15/06/1986"
"6971","C695212","19861C36",1986,"M","19861C36_C695212",18.7,NA,78,"5","09/06/1986"
"6972","NC10799","19861C5",1986,"M","19861C5_NC10799",18.5,NA,77,"5","05/06/1986"
"6973","C695241","19861C50",1986,"M","19861C50_C695241",20,NA,79,"6","07/05/1986"
"6974","NC10792","19861C52",1986,"M","19861C52_NC10792",19.8,NA,77,"5","31/05/1986"
"6975","B069589","19861C56",1986,"M","19861C56_B069589",19.3,NA,77,"6","28/05/1986"
"6976","NC10793","19861C62",1986,"M","19861C62_NC10793",20,NA,76,"5","04/06/1986"
"6977","NN34345","19861C9",1986,"M","19861C9_NN34345",19.9,NA,78,"6","01/06/1986"
"6978","E066305","19861CP1",1986,"M","19861CP1_E066305",19.5,NA,76,"5","24/06/1986"
"6979","NN86931","19861CP11",1986,"M","19861CP11_NN86931",18.7,NA,74.5,"5","10/06/1986"
"6980","NN87166","19861CP14A",1986,"M","19861CP14A_NN87166",19.7,NA,77,"6","01/06/1986"
"6981","NN86602","19861CP21",1986,"M","19861CP21_NN86602",19.1,NA,77,"5","02/06/1986"
"6982","E067997","19861CP29",1986,"M","19861CP29_E067997",19.2,NA,75,"6","07/06/1986"
"6983","NN35152","19861CP33",1986,"M","19861CP33_NN35152",18.9,NA,78,"6","01/06/1986"
"6984","NN86191","19861CP35",1986,"M","19861CP35_NN86191",19.1,NA,78,"5","07/06/1986"
"6985","NE96849","19861CP37",1986,"M","19861CP37_NE96849",18.2,NA,74,"5","01/06/1986"
"6986","NN86093","19861CP39",1986,"M","19861CP39_NN86093",19.2,NA,76,"5","10/06/1986"
"6987","NN87035","19861CP4",1986,"M","19861CP4_NN87035",19.2,NA,77,"6","08/06/1986"
"6988","NK59910","19861CP40A",1986,"M","19861CP40A_NK59910",20.2,NA,77,"6","07/06/1986"
"6989","NN87554","19861CP43",1986,"M","19861CP43_NN87554",19.2,NA,79,"6","10/06/1986"
"6990","E066304","19861CP5A",1986,"M","19861CP5A_E066304",19,NA,77,"5","24/06/1986"
"6991","C716665","19861EX18A",1986,"M","19861EX18A_C716665",18.6,NA,75,"5","01/06/1986"
"6992","C696477","19861EX22",1986,"M","19861EX22_C696477",20.3,NA,78,"6","04/06/1986"
"6993","C696254","19861EX26",1986,"M","19861EX26_C696254",20,NA,76,"6","09/06/1986"
"6994","NN86097","19861EX29A",1986,"M","19861EX29A_NN86097",17.6,NA,76,"5","02/06/1986"
"6995","BO69608","19861EX3",1986,"M","19861EX3_BO69608",18.4,NA,77,"6","05/06/1986"
"6996","NN86100","19861EX34A",1986,"M","19861EX34A_NN86100",18.7,NA,78,"5","01/06/1986"
"6997","NK59498","19861EX38A",1986,"M","19861EX38A_NK59498",18.7,NA,77,"6","05/06/1986"
"6998","NN86759","19861EX40",1986,"M","19861EX40_NN86759",19.2,NA,77,"5","12/06/1986"
"6999","NN87788","19861EX41A",1986,"M","19861EX41A_NN87788",19,NA,76,"5","19/06/1986"
"7000","NN30004","19861EX41D",1986,"M","19861EX41D_NN30004",19.2,NA,76.5,"6","19/06/1986"
"7001","C695529","19861EX42",1986,"M","19861EX42_C695529",19.8,NA,76,"5","14/06/1986"
"7002","NE93814","19861EX42A",1986,"M","19861EX42A_NE93814",18,NA,77,"6","02/06/1986"
"7003","C695599","19861EX43C",1986,"M","19861EX43C_C695599",19.3,NA,77,"5","06/06/1986"
"7004","E066193","19861EX43E",1986,"M","19861EX43E_E066193",18.5,NA,74,"5","15/06/1986"
"7005","NN86773","19861EX45",1986,"M","19861EX45_NN86773",19.8,NA,75,"5","05/06/1986"
"7006","E067899","19861EX47",1986,"M","19861EX47_E067899",19.7,NA,75,"5","06/06/1986"
"7007","E066182","19861EX49A",1986,"M","19861EX49A_E066182",18.7,NA,75,"5","13/06/1986"
"7008","NK59035","19861EX49B",1986,"M","19861EX49B_NK59035",18.9,NA,76.5,"6","16/06/1986"
"7009","NN87826","19861EX49C",1986,"M","19861EX49C_NN87826",21.1,NA,79,"5","06/06/1986"
"7010","NN86105","19861EX53",1986,"M","19861EX53_NN86105",19.1,NA,77,"5","02/06/1986"
"7011","E067801","19861EX55",1986,"M","19861EX55_E067801",20,NA,77,"5","27/05/1986"
"7012","NN30090","19861EX59",1986,"M","19861EX59_NN30090",19.1,NA,77,"6","06/06/1986"
"7013","E066183","19861EX62E",1986,"M","19861EX62E_E066183",20.4,NA,76,"5","13/06/1986"
"7014","C695570","19861EX64",1986,"M","19861EX64_C695570",19.5,NA,76,"5","13/06/1986"
"7015","C716316","19861EX65",1986,"M","19861EX65_C716316",19,NA,76,"6","06/06/1986"
"7016","NN88416","19861EX69",1986,"M","19861EX69_NN88416",20.1,NA,77,"5","13/06/1986"
"7017","C695586","19861EX7",1986,"M","19861EX7_C695586",19.7,NA,75,"5","05/06/1986"
"7018","NE95798","19861EX70",1986,"M","19861EX70_NE95798",20,NA,79,"6","13/06/1986"
"7019","C695631","19861EX71A",1986,"M","19861EX71A_C695631",20.1,NA,77,"5","14/06/1986"
"7020","NN86158","19861EX74",1986,"M","19861EX74_NN86158",20.3,NA,78,"5","06/06/1986"
"7021","NN86981","19861EX76",1986,"M","19861EX76_NN86981",18.5,NA,76,"5","08/06/1986"
"7022","NK59221","19861EX78",1986,"M","19861EX78_NK59221",17.1,NA,76,"6","06/06/1986"
"7023","NN86590","19861EX85",1986,"M","19861EX85_NN86590",19.8,NA,76,"5","21/06/1986"
"7024","E067896","19861EX9",1986,"M","19861EX9_E067896",18.1,NA,77,"5","05/06/1986"
"7025","NE96003","19861MP10",1986,"M","19861MP10_NE96003",18.4,NA,79,"6","02/06/1986"
"7026","C695249","19861MP25",1986,"M","19861MP25_C695249",18.8,NA,75,"5","15/06/1986"
"7027","B068380","19861MP34",1986,"M","19861MP34_B068380",18.3,NA,78,"6","14/06/1986"
"7028","C375698","19861MP46",1986,"M","19861MP46_C375698",19.7,NA,75,"5","16/04/1986"
"7029","NN88289","19861MP51",1986,"M","19861MP51_NN88289",17,NA,74,"5","02/06/1986"
"7030","B068375","19861MP53",1986,"M","19861MP53_B068375",18.5,NA,76,"6","04/06/1986"
"7031","NN86844","19861MP6",1986,"M","19861MP6_NN86844",18,NA,74,"5","07/06/1986"
"7032","B067948","19861MP61",1986,"M","19861MP61_B067948",18,NA,78,"6","06/06/1986"
"7033","NN86869","19861MP69",1986,"M","19861MP69_NN86869",19.1,NA,76,"5","29/05/1986"
"7034","NE93684","19861MP71",1986,"M","19861MP71_NE93684",19.1,NA,78,"6","04/06/1986"
"7035","C695247","19861MP75",1986,"M","19861MP75_C695247",18.3,NA,74,"5","14/06/1986"
"7036","C695191","19861MP77",1986,"M","19861MP77_C695191",19,NA,75,"5","10/06/1986"
"7037","B067859","19861MP80",1986,"M","19861MP80_B067859",19.3,NA,76,"6","29/05/1986"
"7038","NN34792","19861MP85",1986,"M","19861MP85_NN34792",17.9,NA,74,"5","15/06/1986"
"7039","BO68367","19861MP90",1986,"M","19861MP90_BO68367",18.3,NA,74,"5","07/06/1986"
"7040","C695255","19861MP91",1986,"M","19861MP91_C695255",17.2,NA,75,"5","21/06/1986"
"7041","C695240","19861MP93",1986,"M","19861MP93_C695240",17.1,NA,76,"5","07/06/1986"
"7042","NH38948","19861O100",1986,"M","19861O100_NH38948",18.9,NA,77,"6","17/06/1986"
"7043","C695577","19861O105",1986,"M","19861O105_C695577",19,NA,76,"5","08/06/1986"
"7044","NN86887","19861O109",1986,"M","19861O109_NN86887",18.6,NA,77,"5","08/06/1986"
"7045","NK59438","19861O16",1986,"M","19861O16_NK59438",18.9,NA,77,"6","30/06/1986"
"7046","NE96858","19861O19",1986,"M","19861O19_NE96858",19,NA,77,"6","08/06/1986"
"7047","C695253","19861O21",1986,"M","19861O21_C695253",18.9,NA,77,"5","20/06/1986"
"7048","NE94531","19861O25",1986,"M","19861O25_NE94531",19.7,NA,78,"6","20/06/1986"
"7049","NN86098","19861O41",1986,"M","19861O41_NN86098",18.7,NA,75,"5","18/06/1986"
"7050","C375309","19861O43",1986,"M","19861O43_C375309",18,NA,77,"6","20/06/1986"
"7051","NE96498","19861O53",1986,"M","19861O53_NE96498",18.4,NA,76,"6","08/06/1986"
"7052","NN86345","19861O58",1986,"M","19861O58_NN86345",18.7,NA,78,"5","03/06/1986"
"7053","C695100","19861O59",1986,"M","19861O59_C695100",19.1,NA,78,"6","17/06/1986"
"7054","C695244","19861O5A",1986,"M","19861O5A_C695244",18.4,NA,77,"5","08/06/1986"
"7055","A725253","19861O6",1986,"M","19861O6_A725253",17.7,NA,75,"6","08/06/1986"
"7056","C695591","19861O64",1986,"M","19861O64_C695591",19.5,NA,75,"5","17/06/1986"
"7057","NK59633","19861O65",1986,"M","19861O65_NK59633",20,NA,78,"6","04/06/1986"
"7058","NN88157","19861O69",1986,"M","19861O69_NN88157",20,NA,78,"5","03/06/1986"
"7059","C696548","19861O73",1986,"M","19861O73_C696548",18.2,NA,78,"6","07/06/1986"
"7060","C695236","19861O75D",1986,"M","19861O75D_C695236",19,NA,75,"6","06/06/1986"
"7061","C375308","19861O81",1986,"M","19861O81_C375308",17.5,NA,76,"6","09/06/1986"
"7062","NN86306","19861O93",1986,"M","19861O93_NN86306",18.9,NA,74,"5","23/06/1986"
"7063","C695200","19861P22",1986,"M","19861P22_C695200",19.6,NA,76,"5","02/04/1986"
"7064","NN88324","19861SW1",1986,"M","19861SW1_NN88324",17.6,NA,77,"5","19/06/1986"
"7065","NN86140","19861SW10",1986,"M","19861SW10_NN86140",18.6,NA,75,"5","10/06/1986"
"7066","NN35395","19861SW105",1986,"M","19861SW105_NN35395",18.8,NA,78,"6","04/06/1986"
"7067","C695237","19861SW112",1986,"M","19861SW112_C695237",20.3,NA,75,"6","06/06/1986"
"7068","C695257","19861SW117",1986,"M","19861SW117_C695257",17.8,NA,76,"5","21/06/1986"
"7069","NN86324","19861SW121",1986,"M","19861SW121_NN86324",20,NA,74,"5","13/06/1986"
"7070","C695242","19861SW126",1986,"M","19861SW126_C695242",19.1,NA,75,"5","07/06/1986"
"7071","C695245","19861SW134",1986,"M","19861SW134_C695245",19.5,NA,77,"5","10/06/1986"
"7072","NC10776","19861SW16",1986,"M","19861SW16_NC10776",19.6,NA,77,"5","11/06/1986"
"7073","C695547","19861SW18",1986,"M","19861SW18_C695547",17.7,NA,74,"5","11/06/1986"
"7074","NN87760","19861SW30",1986,"M","19861SW30_NN87760",18.7,NA,76,"5","06/06/1986"
"7075","C375807","19861SW42",1986,"M","19861SW42_C375807",18.3,NA,74,"6","05/06/1986"
"7076","NN86214","19861SW5",1986,"M","19861SW5_NN86214",17.8,NA,76,"5","02/06/1986"
"7077","C372641","19861SW59",1986,"M","19861SW59_C372641",19.2,NA,73.5,"5","07/06/1986"
"7078","NE94200","19861SW64",1986,"M","19861SW64_NE94200",18.9,NA,76.5,"6","05/06/1986"
"7079","C695246","19861SW7",1986,"M","19861SW7_C695246",18.2,NA,78,"5","11/06/1986"
"7080","NN88372","19861SW72",1986,"M","19861SW72_NN88372",18.6,NA,76,"5","07/06/1986"
"7081","NE94458","19861SW78",1986,"M","19861SW78_NE94458",19.2,NA,78,"6","06/06/1986"
"7082","NE94611","19861SW89",1986,"M","19861SW89_NE94611",18.2,NA,74.5,"6","09/06/1986"
"7083","E066099","19861W1",1986,"M","19861W1_E066099",19.9,NA,75,"5","09/06/1986"
"7084","E066143","19861W103A",1986,"M","19861W103A_E066143",18.9,NA,75,"5","11/06/1986"
"7085","C696498","19861W13",1986,"M","19861W13_C696498",19.5,NA,78,"6","09/06/1986"
"7086","NN86783","19861W15",1986,"M","19861W15_NN86783",19.9,NA,74,"5","11/06/1986"
"7087","NN87029","19861W17",1986,"M","19861W17_NN87029",19.7,NA,76,"6","04/06/1986"
"7088","NN30158","19861W24",1986,"M","19861W24_NN30158",19.5,NA,78,"6","03/06/1986"
"7089","EO66181","19861W25",1986,"M","19861W25_EO66181",19.8,NA,73,"5","12/06/1986"
"7090","NN35081","19861W3",1986,"M","19861W3_NN35081",18.9,NA,76,"6","09/06/1986"
"7091","NE95928","19861W40",1986,"M","19861W40_NE95928",20.7,NA,78,"6","03/06/1986"
"7092","NN87634","19861W47",1986,"M","19861W47_NN87634",19.2,NA,73,"5","11/06/1986"
"7093","NN86096","19861W5",1986,"M","19861W5_NN86096",20.2,NA,79,"5","16/06/1986"
"7094","NE93721","19861W50",1986,"M","19861W50_NE93721",18.2,NA,74,"6","03/06/1986"
"7095","NN86925","19861W52",1986,"M","19861W52_NN86925",18.3,NA,76,"5","18/06/1986"
"7096","A007133","19861W53",1986,"M","19861W53_A007133",19,NA,78,"6","04/06/1986"
"7097","NN35477","19861W57",1986,"M","19861W57_NN35477",19.9,NA,76,"6","03/06/1986"
"7098","E066041","19861W64A",1986,"M","19861W64A_E066041",18.6,NA,75,"5","09/06/1986"
"7099","NE96929","19861W83",1986,"M","19861W83_NE96929",17.7,NA,78,"6","04/06/1986"
"7100","NN86754","19861W89",1986,"M","19861W89_NN86754",19.3,NA,76,"5","03/06/1986"
"7101","NE95906","19861W99",1986,"M","19861W99_NE95906",17.8,NA,81,"6","04/06/1986"
"7102","C375643","19871B1",1987,"M","19871B1_C375643",19.6,NA,79,"6","24/05/1987"
"7103","NN88364","19871B107",1987,"M","19871B107_NN88364",18.7,NA,77,"6","24/05/1987"
"7104","E066244","19871B109",1987,"M","19871B109_E066244",19.4,NA,76,"5","22/05/1987"
"7105","NN86471","19871B11",1987,"M","19871B11_NN86471",18.5,NA,76,"5","17/05/1987"
"7106","E066214","19871B112",1987,"M","19871B112_E066214",18.1,NA,75,"5","17/05/1987"
"7107","VB54922","19871B125",1987,"M","19871B125_VB54922",19.3,NA,76,"5","18/05/1987"
"7108","JV92667","19871B134",1987,"M","19871B134_JV92667",18.5,NA,78,"6","25/05/1987"
"7109","NN88403","19871B139",1987,"M","19871B139_NN88403",18.8,NA,75,"6","20/05/1987"
"7110","NN34319","19871B16",1987,"M","19871B16_NN34319",19,NA,80,"6","24/05/1987"
"7111","E066220","19871B171",1987,"M","19871B171_E066220",18.7,NA,74,"5","20/05/1987"
"7112","NN34815","19871B172",1987,"M","19871B172_NN34815",18.5,NA,74,"5","19/05/1987"
"7113","NN87936","19871B173",1987,"M","19871B173_NN87936",18.3,NA,77,"5","31/05/1987"
"7114","NN86612","19871B179",1987,"M","19871B179_NN86612",19.7,NA,77.5,"6","26/05/1987"
"7115","C375761","19871B184",1987,"M","19871B184_C375761",19.1,NA,76.5,"5","18/05/1987"
"7116","VB54939","19871B205",1987,"M","19871B205_VB54939",19.7,NA,74,"5","20/05/1987"
"7117","E066224","19871B215",1987,"M","19871B215_E066224",19.4,NA,74,"5","18/05/1987"
"7118","NN34060","19871B226",1987,"M","19871B226_NN34060",20.3,NA,77,"6","17/05/1987"
"7119","C716776","19871B3",1987,"M","19871B3_C716776",18.8,NA,79,"6","21/05/1987"
"7120","NE96084","19871B51",1987,"M","19871B51_NE96084",18.9,NA,76,"5","19/05/1987"
"7121","NN88359","19871B56",1987,"M","19871B56_NN88359",20.6,NA,78,"6","20/05/1987"
"7122","NN86681","19871B63",1987,"M","19871B63_NN86681",17.5,NA,73.5,"5","19/05/1987"
"7123","C375685","19871B66",1987,"M","19871B66_C375685",18.3,NA,76.5,"6","21/05/1987"
"7124","JV92668","19871B72",1987,"M","19871B72_JV92668",19.2,NA,78,"6","18/05/1987"
"7125","C375670","19871B78",1987,"M","19871B78_C375670",19.3,NA,80,"6","15/05/1987"
"7126","VB54915","19871B85",1987,"M","19871B85_VB54915",18.7,NA,77.5,"5","17/05/1987"
"7127","C375759","19871B90",1987,"M","19871B90_C375759",18.8,NA,75,"5","21/05/1987"
"7128","C375768","19871B91",1987,"M","19871B91_C375768",18.7,NA,73,"5","17/05/1987"
"7129","NN87947","19871B96",1987,"M","19871B96_NN87947",19.2,NA,76,"5","24/05/1987"
"7130","NN34758","19871B98",1987,"M","19871B98_NN34758",19,NA,78.5,"6","24/05/1987"
"7131","NN35509","19871C1",1987,"M","19871C1_NN35509",18,NA,75,"5","19/05/1987"
"7132","C696596","19871C106",1987,"M","19871C106_C696596",19.5,NA,78,"6","10/06/1987"
"7133","NN88106","19871C108",1987,"M","19871C108_NN88106",20.8,NA,77,"6","25/05/1987"
"7134","NN87697","19871C118",1987,"M","19871C118_NN87697",19.2,NA,76,"6","25/05/1987"
"7135","NN88109","19871C124",1987,"M","19871C124_NN88109",18.1,NA,80,"6","20/06/1987"
"7136","NN86587","19871C127",1987,"M","19871C127_NN86587",19.6,NA,77,"6","26/05/1987"
"7137","NN88358","19871C146",1987,"M","19871C146_NN88358",18.5,NA,76,"6","19/05/1987"
"7138","C695214","19871C17",1987,"M","19871C17_C695214",17.7,NA,77,"6","17/05/1987"
"7139","NN35539","19871C30",1987,"M","19871C30_NN35539",20.1,NA,77,"5","19/05/1987"
"7140","NN35642","19871C34",1987,"M","19871C34_NN35642",18.2,NA,77,"5","25/05/1987"
"7141","NN35536","19871C35",1987,"M","19871C35_NN35536",19.7,NA,77,"5","23/05/1987"
"7142","NN35827","19871C39",1987,"M","19871C39_NN35827",18.3,NA,76,"5","02/06/1987"
"7143","NN35563","19871C41",1987,"M","19871C41_NN35563",17.7,NA,78,"5","19/05/1987"
"7144","C695241","19871C54",1987,"M","19871C54_C695241",18.7,NA,78,"6","20/06/1987"
"7145","NC10792","19871C57",1987,"M","19871C57_NC10792",20.2,NA,79,"6","19/05/1987"
"7146","VB54506","19871C61",1987,"M","19871C61_VB54506",18.7,NA,77,"5","19/05/1987"
"7147","C375669","19871C9",1987,"M","19871C9_C375669",19.2,NA,77,"6","25/05/1987"
"7148","NN86931","19871CP14",1987,"M","19871CP14_NN86931",18.7,NA,76,"6","19/05/1987"
"7149","VB54007","19871CP17",1987,"M","19871CP17_VB54007",19.1,NA,77,"5","19/05/1987"
"7150","NN86783","19871CP2",1987,"M","19871CP2_NN86783",19.1,NA,74,"6","23/05/1987"
"7151","E066317","19871CP22",1987,"M","19871CP22_E066317",19.2,NA,78,"5","18/05/1987"
"7152","NE93720","19871CP31",1987,"M","19871CP31_NE93720",19.5,NA,78,"6","28/05/1987"
"7153","NN86191","19871CP34",1987,"M","19871CP34_NN86191",19.1,NA,78.5,"6","19/05/1987"
"7154","E066318","19871CP37",1987,"M","19871CP37_E066318",17.9,NA,75.5,"5","18/05/1987"
"7155","VB54035","19871CP40",1987,"M","19871CP40_VB54035",20.1,NA,78,"5","19/05/1987"
"7156","NN35248","19871CP40A",1987,"M","19871CP40A_NN35248",19.5,NA,76,"6","19/05/1987"
"7157","NN87554","19871CP43",1987,"M","19871CP43_NN87554",20.1,NA,79,"6","19/05/1987"
"7158","VB54447","19871CP5B",1987,"M","19871CP5B_VB54447",20.3,NA,77,"5","23/05/1987"
"7159","VB54341","19871CP6",1987,"M","19871CP6_VB54341",19.2,NA,77,"5","28/05/1987"
"7160","VB54444","19871CP7",1987,"M","19871CP7_VB54444",19.5,NA,76,"5","18/05/1987"
"7161","NE93650","19871CP9",1987,"M","19871CP9_NE93650",18.3,NA,75,"5","18/05/1987"
"7162","E066312","19871EX10",1987,"M","19871EX10_E066312",19.5,NA,77,"6","17/05/1987"
"7163","NN86685","19871EX10A",1987,"M","19871EX10A_NN86685",18.8,NA,76,"5","17/05/1987"
"7164","VB54182","19871EX12A",1987,"M","19871EX12A_VB54182",19.7,NA,76,"5","17/05/1987"
"7165","NN35400","19871EX14B",1987,"M","19871EX14B_NN35400",19.8,NA,79,"6","20/05/1987"
"7166","B069608","19871EX2",1987,"M","19871EX2_B069608",19,NA,77,"6","16/05/1987"
"7167","VB54074","19871EX25",1987,"M","19871EX25_VB54074",19.4,NA,74.5,"5","26/05/1987"
"7168","EO66193","19871EX29A",1987,"M","19871EX29A_EO66193",18.7,NA,76,"6","29/05/1987"
"7169","E066315","19871EX31A",1987,"M","19871EX31A_E066315",20.3,NA,75,"5","17/05/1987"
"7170","NN87022","19871EX32",1987,"M","19871EX32_NN87022",19.4,NA,77,"6","17/05/1987"
"7171","C695589","19871EX34",1987,"M","19871EX34_C695589",19.9,NA,78,"6","17/05/1987"
"7172","NK59498","19871EX38A",1987,"M","19871EX38A_NK59498",18.2,NA,77.5,"6","17/05/1987"
"7173","E066319","19871EX39",1987,"M","19871EX39_E066319",18.2,NA,77,"5","19/05/1987"
"7174","NN86759","19871EX39B",1987,"M","19871EX39B_NN86759",19.2,NA,77,"6","19/05/1987"
"7175","C695586","19871EX4",1987,"M","19871EX4_C695586",20.6,NA,78,"6","16/05/1987"
"7176","C695529","19871EX41",1987,"M","19871EX41_C695529",19.8,NA,79,"6","17/05/1987"
"7177","C695695","19871EX41E",1987,"M","19871EX41E_C695695",18.1,NA,73,"5","28/05/1987"
"7178","VB54083","19871EX42A",1987,"M","19871EX42A_VB54083",19.2,NA,77,"5","22/05/1987"
"7179","E066210","19871EX47",1987,"M","19871EX47_E066210",18.4,NA,77,"5","18/05/1987"
"7180","E067899","19871EX49",1987,"M","19871EX49_E067899",19.1,NA,75,"6","18/05/1987"
"7181","VB54542","19871EX51A",1987,"M","19871EX51A_VB54542",18.2,NA,75.5,"5","18/05/1987"
"7182","VB54005","19871EX54",1987,"M","19871EX54_VB54005",18.9,NA,76,"5","15/05/1987"
"7183","E029537","19871EX55",1987,"M","19871EX55_E029537",19.1,NA,77,"5","15/05/1987"
